iter, train_loss, val_loss, lr, mfu
1520, 2.3305, nan, 0.000496, 0.66
1540, 2.3667, nan, 0.000493, 0.67
1560, 2.3500, nan, 0.000490, 0.67
1580, 2.3289, nan, 0.000487, 0.68
1600, 2.3819, nan, 0.000484, 0.68
1620, 2.3580, nan, 0.000482, 0.68
1640, 2.3462, nan, 0.000479, 0.68
1660, 2.3274, nan, 0.000476, 0.69
1680, 2.3644, nan, 0.000473, 0.69
1700, 2.3439, nan, 0.000470, 0.69
1720, 2.2921, nan, 0.000467, 0.69
1740, 2.3444, nan, 0.000464, 0.69
1760, 2.3331, nan, 0.000461, 0.69
1780, 2.3065, nan, 0.000458, 0.69
1800, 2.3555, nan, 0.000455, 0.69
1820, 2.2884, nan, 0.000452, 0.69
1840, 2.3267, nan, 0.000449, 0.69
1860, 2.3307, nan, 0.000446, 0.68
1880, 2.3274, nan, 0.000442, 0.69
1900, 2.2919, nan, 0.000439, 0.67
1920, 2.2555, nan, 0.000436, 0.67
1940, 2.2408, nan, 0.000433, 0.66
1960, 2.3274, nan, 0.000430, 0.66
1980, 2.3551, nan, 0.000426, 0.65
2000, 2.2193, 2.2665e+00, 0.000423, 0.65
2000, 2.3660, nan, 0.000423, 0.63
2020, 2.3133, nan, 0.000420, 0.64
2040, 2.2957, nan, 0.000417, 0.65
2060, 2.2828, nan, 0.000413, 0.66
2080, 2.2969, nan, 0.000410, 0.66
2100, 2.2816, nan, 0.000407, 0.66
2120, 2.3008, nan, 0.000403, 0.67
2140, 2.3235, nan, 0.000400, 0.67
2160, 2.2781, nan, 0.000397, 0.67
2180, 2.3322, nan, 0.000393, 0.68
2200, 2.3103, nan, 0.000390, 0.68
2220, 2.3191, nan, 0.000387, 0.69
2240, 2.2699, nan, 0.000383, 0.69
2260, 2.2619, nan, 0.000380, 0.69
2280, 2.2654, nan, 0.000377, 0.69
2300, 2.3014, nan, 0.000373, 0.70
2320, 2.2546, nan, 0.000370, 0.70
2340, 2.2761, nan, 0.000366, 0.70
2360, 2.2092, nan, 0.000363, 0.70
2380, 2.2493, nan, 0.000359, 0.70
2400, 2.2281, nan, 0.000356, 0.71
2420, 2.2292, nan, 0.000352, 0.71
2440, 2.2592, nan, 0.000349, 0.71
2460, 2.2491, nan, 0.000346, 0.71
2480, 2.2846, nan, 0.000342, 0.71
2500, 2.2916, nan, 0.000339, 0.71
2520, 2.1920, nan, 0.000335, 0.69
2540, 2.2623, nan, 0.000332, 0.69
2560, 2.2287, nan, 0.000328, 0.68
2580, 2.2617, nan, 0.000325, 0.68
2600, 2.2557, nan, 0.000321, 0.66
2620, 2.2643, nan, 0.000318, 0.67
2640, 2.3106, nan, 0.000314, 0.65
2660, 2.1915, nan, 0.000311, 0.66
2680, 2.2249, nan, 0.000308, 0.66
2700, 2.2480, nan, 0.000304, 0.67
2720, 2.2882, nan, 0.000301, 0.68
2740, 2.3031, nan, 0.000297, 0.68
2760, 2.2309, nan, 0.000294, 0.68
2780, 2.2271, nan, 0.000290, 0.68
2800, 2.2428, nan, 0.000287, 0.68
2820, 2.2234, nan, 0.000283, 0.69
2840, 2.1829, nan, 0.000280, 0.69
2860, 2.1933, nan, 0.000277, 0.70
2880, 2.2261, nan, 0.000273, 0.70
2900, 2.2085, nan, 0.000270, 0.70
2920, 2.1669, nan, 0.000267, 0.70
2940, 2.2743, nan, 0.000263, 0.70
2960, 2.2184, nan, 0.000260, 0.70
2980, 2.2003, nan, 0.000257, 0.67
3000, 2.0883, 2.1533e+00, 0.000253, 0.67
3000, 2.2236, nan, 0.000253, 0.66
3020, 2.2366, nan, 0.000250, 0.66
3040, 2.1830, nan, 0.000247, 0.67
3060, 2.2155, nan, 0.000243, 0.67
3080, 2.1993, nan, 0.000240, 0.67
3100, 2.2201, nan, 0.000237, 0.68
3120, 2.1515, nan, 0.000234, 0.68
3140, 2.1837, nan, 0.000230, 0.66
3160, 2.1711, nan, 0.000227, 0.67
3180, 2.1667, nan, 0.000224, 0.65
3200, 2.1992, nan, 0.000221, 0.66
3220, 2.1634, nan, 0.000218, 0.64
3240, 2.2183, nan, 0.000214, 0.64
3260, 2.2013, nan, 0.000211, 0.65
3280, 2.1692, nan, 0.000208, 0.66
3300, 2.1892, nan, 0.000205, 0.66
3320, 2.2066, nan, 0.000202, 0.67
3340, 2.1997, nan, 0.000199, 0.67
3360, 2.1608, nan, 0.000196, 0.67
3380, 2.1539, nan, 0.000193, 0.67
3400, 2.1999, nan, 0.000190, 0.68
3420, 2.1423, nan, 0.000187, 0.68
3440, 2.1372, nan, 0.000184, 0.69
3460, 2.1695, nan, 0.000181, 0.69
3480, 2.1153, nan, 0.000178, 0.69
3500, 2.2719, nan, 0.000176, 0.70
3520, 2.2073, nan, 0.000173, 0.70
3540, 2.1475, nan, 0.000170, 0.70
3560, 2.2155, nan, 0.000167, 0.70
3580, 2.1835, nan, 0.000164, 0.70
3600, 2.1719, nan, 0.000162, 0.71
3620, 2.1632, nan, 0.000159, 0.71
3640, 2.1476, nan, 0.000156, 0.70
3660, 2.1787, nan, 0.000154, 0.70
3680, 2.1578, nan, 0.000151, 0.70
3700, 2.1626, nan, 0.000148, 0.71
3720, 2.1363, nan, 0.000146, 0.69
3740, 2.1690, nan, 0.000143, 0.69
3760, 2.2056, nan, 0.000141, 0.67
3780, 2.1302, nan, 0.000138, 0.67
3800, 2.1516, nan, 0.000136, 0.67
3820, 2.1760, nan, 0.000134, 0.67
3840, 2.2074, nan, 0.000131, 0.68
3860, 2.1812, nan, 0.000129, 0.68
3880, 2.0824, nan, 0.000127, 0.68
3900, 2.1537, nan, 0.000124, 0.68
3920, 2.1271, nan, 0.000122, 0.68
3940, 2.1798, nan, 0.000120, 0.68
3960, 2.1245, nan, 0.000118, 0.68
3980, 2.1803, nan, 0.000116, 0.68
4000, 2.0031, 2.0712e+00, 0.000114, 0.68
4000, 2.1216, nan, 0.000114, 0.66
4020, 2.1149, nan, 0.000112, 0.65
4040, 2.1663, nan, 0.000110, 0.66
4060, 2.1286, nan, 0.000108, 0.66
4080, 2.1328, nan, 0.000106, 0.66
4100, 2.1184, nan, 0.000104, 0.66
4120, 2.0539, nan, 0.000102, 0.66
4140, 2.1197, nan, 0.000100, 0.66
4160, 2.1447, nan, 0.000098, 0.65
4180, 2.1084, nan, 0.000096, 0.65
4200, 2.1440, nan, 0.000095, 0.65
4220, 2.1505, nan, 0.000093, 0.65
4240, 2.1174, nan, 0.000091, 0.64
4260, 2.1876, nan, 0.000090, 0.64
4280, 2.1321, nan, 0.000088, 0.64
4300, 2.1239, nan, 0.000087, 0.64
4320, 2.1132, nan, 0.000085, 0.65
4340, 2.1482, nan, 0.000084, 0.65
4360, 2.2008, nan, 0.000082, 0.65
4380, 2.0942, nan, 0.000081, 0.65
4400, 2.1368, nan, 0.000080, 0.66
4420, 2.0876, nan, 0.000078, 0.66
4440, 2.1050, nan, 0.000077, 0.66
4460, 2.1235, nan, 0.000076, 0.65
4480, 2.1196, nan, 0.000075, 0.66
4500, 2.1497, nan, 0.000074, 0.64
4520, 2.1084, nan, 0.000073, 0.65
4540, 2.1325, nan, 0.000072, 0.66
4560, 2.1277, nan, 0.000071, 0.66
4580, 2.1428, nan, 0.000070, 0.66
4600, 2.1445, nan, 0.000069, 0.66
4620, 2.1184, nan, 0.000068, 0.67
4640, 2.1392, nan, 0.000067, 0.67
4660, 2.1057, nan, 0.000066, 0.68
4680, 2.1863, nan, 0.000066, 0.68
4700, 2.1293, nan, 0.000065, 0.69
4720, 2.1423, nan, 0.000064, 0.69
4740, 2.0238, nan, 0.000064, 0.69
4760, 2.0926, nan, 0.000063, 0.69
4780, 2.1599, nan, 0.000063, 0.70
4800, 2.0584, nan, 0.000062, 0.70
4820, 2.1350, nan, 0.000062, 0.70
4840, 2.1946, nan, 0.000061, 0.70
4860, 2.1110, nan, 0.000061, 0.70
4880, 2.0958, nan, 0.000061, 0.71
4900, 2.1363, nan, 0.000061, 0.71
4920, 2.1174, nan, 0.000060, 0.71
4940, 2.0691, nan, 0.000060, 0.71
4960, 2.0710, nan, 0.000060, 0.69
4980, 2.0572, nan, 0.000060, 0.69
5000, 1.9541, 2.0635e+00, 0.000060, 0.69
5000, 2.0892, nan, 0.000060, 0.66
